Fecha,Simbolo,Accion,Precio,datetime,symbol,price,ema50,ema200,rsi,signal,mode
2025-10-09 15:52:31.527812,BTCUSDT,COMPRA,50038.95073027819,,,,,,,,
2025-10-09 15:59:20.640593,BTCUSDT,COMPRA,50974.31931968437,,,,,,,,
,,,,2025-10-12 00:06:39.365469,EURUSD,50021.1513257935,50016.922605928856,50013.32197179047,53.54427745559255,NONE,sim
,,,,2025-10-12 00:17:20.958305,BTCUSDT,49999.08674480125,49999.4942633699,49999.66658336916,52.71591026511755,NONE,sim
,,,,2025-10-12 00:18:21.048755,BTCUSDT,49984.62916800076,49983.57063857731,49990.526115099885,56.78141449350239,NONE,sim
,,,,2025-10-12 00:19:21.109867,BTCUSDT,49989.64250251876,49996.41254461118,49998.64879137286,23.40370453927936,SELL,sim
,,,,2025-10-12 00:20:21.514636,BTCUSDT,50038.134820784646,50038.92815923908,50037.017845189286,63.379708505697465,BUY,sim
,,,,2025-10-12 00:21:21.532290,BTCUSDT,49976.4516274693,49971.30248834789,49979.15943575223,81.96189003976389,NONE,sim
,,,,2025-10-12 00:22:21.560890,BTCUSDT,49988.57631226456,49990.050250492175,49990.07107393472,45.17375706764492,NONE,sim
,,,,2025-10-12 00:23:21.584407,BTCUSDT,49978.61322916366,49975.68996609794,49976.03963661738,64.40141847091905,NONE,sim
,,,,2025-10-12 00:24:21.992819,BTCUSDT,49982.0905403733,49981.92382874936,49986.959331211576,61.07698117748592,NONE,sim
,,,,2025-10-12 00:37:50.735923,BTCUSDT,49997.40483342095,50000.519842552814,50007.91687795004,47.2803774586735,NONE,sim
,,,,2025-10-12 00:38:50.787817,BTCUSDT,49998.8926665891,49997.31532029015,49998.90433192015,63.25545663553064,NONE,sim
,,,,2025-10-12 00:52:19.856080,BTCUSDT,49967.84972400188,49966.80924874393,49971.25501764994,45.09908688203711,NONE,sim
,,,,2025-10-12 00:53:19.901723,BTCUSDT,50004.90688753923,50000.62657022777,49999.288122143946,50.93652353466941,NONE,sim
,,,,2025-10-12 00:54:19.919226,BTCUSDT,49989.3383752842,49990.7051382325,49995.19157942472,49.535868834869696,NONE,sim
,,,,2025-10-12 00:55:19.943386,BTCUSDT,50008.686857094086,50012.32276596775,50008.375504792806,16.872559352733447,NONE,sim
,,,,2025-10-12 00:56:19.969532,BTCUSDT,49987.20960014117,49984.791959690425,49979.18348620556,35.060515174373364,NONE,sim
,,,,2025-10-12 00:57:19.989562,BTCUSDT,49970.71217439468,49974.92883765435,49980.25385745781,53.08238957800606,NONE,sim
,,,,2025-10-12 00:58:20.024227,BTCUSDT,50007.02311815185,50005.95667793488,50007.45670499549,59.49642122435375,NONE,sim
,,,,2025-10-12 00:59:20.054090,BTCUSDT,49939.85678690124,49935.14359851876,49940.7152616184,63.32435284416805,NONE,sim
,,,,2025-10-12 01:00:20.077126,BTCUSDT,50000.80327507781,50003.48087469297,49999.228189241614,29.55030338047753,NONE,sim
,,,,2025-10-10 23:56:00,EURUSD,1.16241,1.1612181112035032,1.1609203661307133,77.01863354036851,BUY,real
,,,,2025-10-10 23:56:00,EURUSD,1.16241,1.1612181112035032,1.1609203661307133,77.01863354036851,BUY,real
,,,,2025-10-10 23:56:00,EURUSD,1.16241,1.1612181112035032,1.1609203661307133,77.01863354036851,BUY,real
,,,,2025-10-13 05:29:00,EURUSD,1.16191,1.162085958551203,1.1613871611498732,15.966386554629835,NONE,real
,,,,2025-10-13 05:30:00,EURUSD,1.16192,1.1620779432597668,1.1613910583293894,22.222222222235928,NONE,real
,,,,2025-10-13 05:31:00,EURUSD,1.16202,1.162079061978838,1.1613992137171196,29.56521739131324,NONE,real
,,,,2025-10-13 05:32:00,EURUSD,1.16222,1.162087603185009,1.161407023440853,45.00000000000556,NONE,real
